RSIValue,RSIInterval,Trend
28.0,17.0,0
90.0,15.0,0
24.0,19.0,1
64.0,7.0,1
57.0,17.0,0
52.0,15.0,0
21.0,7.0,0
70.0,16.0,0
39.0,6.0,1
67.0,6.0,1
55.0,11.0,0
50.0,9.0,0
33.0,5.0,0
71.0,15.0,0
30.0,9.0,1
93.0,14.0,1
62.0,13.0,0
57.0,11.0,0
14.0,8.0,0
67.0,6.0,0
38.0,16.0,1
73.0,12.0,1
53.0,13.0,0
48.0,11.0,0
5.0,18.0,0
86.0,17.0,0
11.0,15.0,1
69.0,16.0,1
48.0,19.0,0
43.0,17.0,0
39.0,15.0,0
71.0,18.0,0
35.0,17.0,1
62.0,5.0,1
57.0,16.0,0
52.0,14.0,0
22.0,7.0,0
85.0,9.0,0
11.0,14.0,1
86.0,16.0,1
56.0,14.0,0
51.0,12.0,0
5.0,17.0,0
92.0,19.0,0
20.0,13.0,1
87.0,16.0,1
56.0,19.0,0
51.0,17.0,0
8.0,18.0,0
75.0,12.0,0
26.0,6.0,1
82.0,7.0,1
53.0,13.0,0
48.0,11.0,0
29.0,13.0,0
78.0,5.0,0
38.0,14.0,1
93.0,6.0,1
65.0,12.0,0
60.0,10.0,0
10.0,7.0,0
76.0,19.0,0
24.0,11.0,1
91.0,6.0,1
56.0,13.0,0
51.0,11.0,0
31.0,10.0,0
78.0,5.0,0
18.0,12.0,1
88.0,14.0,1
59.0,13.0,0
54.0,11.0,0
32.0,9.0,0
60.0,13.0,0
17.0,6.0,1
62.0,14.0,1
48.0,13.0,0
43.0,11.0,0
17.0,9.0,0
60.0,19.0,0
26.0,19.0,1
72.0,6.0,1
49.0,16.0,0
44.0,14.0,0
32.0,5.0,0
69.0,16.0,0
35.0,11.0,1
68.0,9.0,1
56.0,13.0,0
51.0,11.0,0
9.0,11.0,0
89.0,10.0,0
31.0,18.0,1
79.0,9.0,1
57.0,14.0,0
52.0,12.0,0
6.0,19.0,0
72.0,15.0,0
20.0,12.0,1
93.0,15.0,1
53.0,18.0,0
48.0,16.0,0
19.0,16.0,0
84.0,9.0,0
12.0,10.0,1
72.0,10.0,1
52.0,14.0,0
47.0,12.0,0
25.0,15.0,0
64.0,19.0,0
32.0,13.0,1
93.0,18.0,1
59.0,19.0,0
54.0,17.0,0
21.0,15.0,0
64.0,5.0,0
25.0,7.0,1
62.0,13.0,1
48.0,12.0,0
43.0,10.0,0
18.0,10.0,0
85.0,10.0,0
39.0,8.0,1
72.0,10.0,1
59.0,12.0,0
54.0,10.0,0
27.0,15.0,0
65.0,8.0,0
36.0,19.0,1
63.0,5.0,1
53.0,14.0,0
48.0,12.0,0
16.0,15.0,0
62.0,6.0,0
25.0,8.0,1
90.0,16.0,1
54.0,14.0,0
49.0,12.0,0
32.0,18.0,0
74.0,13.0,0
31.0,9.0,1
76.0,13.0,1
59.0,16.0,0
54.0,14.0,0
5.0,9.0,0
85.0,8.0,0
14.0,17.0,1
92.0,13.0,1
54.0,14.0,0
49.0,12.0,0
14.0,5.0,0
75.0,7.0,0
35.0,7.0,1
64.0,16.0,1
52.0,11.0,0
47.0,9.0,0
12.0,13.0,0
65.0,15.0,0
30.0,9.0,1
70.0,14.0,1
50.0,15.0,0
45.0,13.0,0
19.0,5.0,0
74.0,7.0,0
6.0,12.0,1
67.0,10.0,1
47.0,11.0,0
42.0,9.0,0
9.0,13.0,0
86.0,6.0,0
29.0,14.0,1
64.0,5.0,1
52.0,12.0,0
47.0,10.0,0
18.0,17.0,0
68.0,8.0,0
13.0,6.0,1
60.0,5.0,1
45.0,11.0,0
40.0,9.0,0
22.0,15.0,0
60.0,9.0,0
36.0,16.0,1
93.0,13.0,1
58.0,16.0,0
53.0,14.0,0
26.0,18.0,0
94.0,18.0,0
26.0,6.0,1
71.0,16.0,1
60.0,17.0,0
55.0,15.0,0
27.0,16.0,0
69.0,6.0,0
8.0,14.0,1
87.0,14.0,1
53.0,15.0,0
48.0,13.0,0
31.0,6.0,0
79.0,15.0,0
7.0,16.0,1
62.0,8.0,1
50.0,14.0,0
45.0,12.0,0
21.0,12.0,0
86.0,18.0,0
29.0,18.0,1
88.0,19.0,1
61.0,19.0,0
56.0,17.0,0
23.0,10.0,0
89.0,13.0,0
23.0,15.0,1
70.0,7.0,1
57.0,14.0,0
52.0,12.0,0
38.0,9.0,0
85.0,10.0,0
27.0,19.0,1
63.0,9.0,1
59.0,14.0,0
54.0,12.0,0
27.0,5.0,0
85.0,18.0,0
26.0,16.0,1
76.0,6.0,1
59.0,14.0,0
54.0,12.0,0
15.0,11.0,0
85.0,14.0,0
31.0,5.0,1
82.0,11.0,1
59.0,13.0,0
54.0,11.0,0
13.0,13.0,0
92.0,11.0,0
19.0,17.0,1
74.0,6.0,1
55.0,14.0,0
50.0,12.0,0
36.0,10.0,0
60.0,8.0,0
20.0,13.0,1
82.0,9.0,1
55.0,12.0,0
50.0,10.0,0
37.0,8.0,0
70.0,6.0,0
7.0,6.0,1
86.0,16.0,1
55.0,11.0,0
50.0,9.0,0
21.0,13.0,0
90.0,6.0,0
12.0,17.0,1
81.0,18.0,1
56.0,16.0,0
51.0,14.0,0
37.0,13.0,0
68.0,8.0,0
33.0,9.0,1
85.0,6.0,1
61.0,11.0,0
56.0,9.0,0
33.0,6.0,0
60.0,5.0,0
25.0,8.0,1
84.0,8.0,1
56.0,9.0,0
51.0,7.0,0
29.0,9.0,0
63.0,7.0,0
7.0,14.0,1
67.0,12.0,1
47.0,13.0,0
42.0,11.0,0
21.0,9.0,0
76.0,12.0,0
11.0,9.0,1
84.0,8.0,1
53.0,12.0,0
48.0,10.0,0
6.0,9.0,0
74.0,10.0,0
28.0,15.0,1
85.0,19.0,1
54.0,16.0,0
49.0,14.0,0
5.0,18.0,0
80.0,16.0,0
33.0,11.0,1
88.0,14.0,1
57.0,17.0,0
52.0,15.0,0
39.0,11.0,0
78.0,9.0,0
8.0,5.0,1
67.0,12.0,1
53.0,12.0,0
48.0,10.0,0
